native_power,power,wind_dir,wind_speed,air_temp,SAP,air_density
12.969,0.8105625,1,1,1,1,1
13.125,0.8203125,1,1,1,1,1
13.219,0.8261875,1,1,1,1,1
13.232,0.827,1,1,1,1,1
13.263,0.8289375,1,1,1,1,1
13.333,0.8333125,1,1,1,1,1
13.296,0.831,1,1,1,1,1
13.221,0.8263125,1,1,1,1,1
13.14,0.82125,1,1,1,1,1
13.103,0.8189375,1,1,1,1,1
13.041,0.8150625,1,1,1,1,1
12.892,0.80575,1,1,1,1,1
12.817,0.8010625,1,1,1,1,1
12.88,0.805,1,1,1,1,1
13.049,0.8155625,1,1,1,1,1
13.18,0.82375,1,1,1,1,1
13.156,0.82225,1,1,1,1,1
13.175,0.8234375,1,1,1,1,1
13.201,0.8250625,1,1,1,1,1
13.158,0.822375,1,1,1,1,1
13.084,0.81775,1,1,1,1,1
12.985,0.8115625,1,1,1,1,1
12.874,0.804625,1,1,1,1,1
12.769,0.7980625,1,1,1,1,1
12.595,0.7871875,1,1,1,1,1
12.354,0.772125,1,1,1,1,1
12.204,0.76275,1,1,1,1,1
12.161,0.7600625,1,1,1,1,1
12.188,0.76175,1,1,1,1,1
12.207,0.7629375,1,1,1,1,1
12.306,0.769125,1,1,1,1,1
12.45,0.778125,1,1,1,1,1
12.478,0.779875,1,1,1,1,1
12.4,0.775,1,1,1,1,1
12.295,0.7684375,1,1,1,1,1
12.262,0.766375,1,1,1,1,1
12.281,0.7675625,1,1,1,1,1
12.381,0.7738125,1,1,1,1,1
12.419,0.7761875,1,1,1,1,1
12.358,0.772375,1,1,1,1,1
12.271,0.7669375,1,1,1,1,1
12.058,0.753625,1,1,1,1,1
11.703,0.7314375,1,1,1,1,1
11.474,0.717125,1,1,1,1,1
11.27,0.704375,1,1,1,1,1
11.138,0.696125,1,1,1,1,1
11.087,0.6929375,1,1,1,1,1
10.901,0.6813125,1,1,1,1,1
10.743,0.6714375,1,1,1,1,1
10.647,0.6654375,1,1,1,1,1
