STATION,STATION_NAME,DATE,HPCP
COOP:303851,HIGHMARKET NY US,20130613 12:00,2.54
COOP:303851,HIGHMARKET NY US,20130613 13:00,2.54
COOP:303851,HIGHMARKET NY US,20130613 14:00,2.54
COOP:303851,HIGHMARKET NY US,20130616 13:00,2.54
COOP:303851,HIGHMARKET NY US,20130616 14:00,5.08
COOP:303851,HIGHMARKET NY US,20130616 23:00,2.54
COOP:303851,HIGHMARKET NY US,20130618 01:00,25399.75
COOP:303851,HIGHMARKET NY US,20130620 00:00,25399.75
COOP:303851,HIGHMARKET NY US,20130623 01:00,2.54
COOP:303851,HIGHMARKET NY US,20130623 06:00,2.54
COOP:303851,HIGHMARKET NY US,20130625 11:00,5.08
COOP:303851,HIGHMARKET NY US,20130625 13:00,12.70
COOP:303851,HIGHMARKET NY US,20130625 14:00,2.54
COOP:303851,HIGHMARKET NY US,20130626 05:00,2.54
COOP:303851,HIGHMARKET NY US,20130626 09:00,5.08
COOP:303851,HIGHMARKET NY US,20130626 10:00,7.62
COOP:303851,HIGHMARKET NY US,20130627 22:00,5.08
COOP:303851,HIGHMARKET NY US,20130628 01:00,2.54
COOP:303851,HIGHMARKET NY US,20130628 02:00,2.54
COOP:303851,HIGHMARKET NY US,20130628 03:00,5.08
COOP:303851,HIGHMARKET NY US,20130628 04:00,5.08
COOP:303851,HIGHMARKET NY US,20130628 05:00,2.54
COOP:303851,HIGHMARKET NY US,20130628 06:00,2.54
COOP:303851,HIGHMARKET NY US,20130628 07:00,2.54
COOP:303851,HIGHMARKET NY US,20130628 08:00,2.54
COOP:303851,HIGHMARKET NY US,20130701 01:00,0.00
COOP:303851,HIGHMARKET NY US,20130701 14:00,2.54
COOP:303851,HIGHMARKET NY US,20130701 15:00,2.54
COOP:303851,HIGHMARKET NY US,20130701 17:00,5.08
COOP:303851,HIGHMARKET NY US,20130701 18:00,5.08
COOP:303851,HIGHMARKET NY US,20130702 21:00,2.54
COOP:303851,HIGHMARKET NY US,20130703 19:00,2.54
